ein,total_revenue,program_expenses,tax_year,efficiency_ratio
46-4645902,1414942.0,1305958.0,2023,0.9229763481471326
46-5136872,1276672.0,938267.0,2023,0.7349319167335071
47-0976556,1345394.0,1224233.0,2023,0.909943852878785
47-1001464,24397842.0,22598771.0,2023,0.9262610603019726
47-1277862,505617.0,496892.0,2023,0.9827438555270096
47-1636395,1839658.0,3462925.0,2023,1.8823743326205198
47-1779009,707232.0,832336.0,2023,1.1768924483055065
47-2028521,1313623.0,292998.0,2023,0.22304572925413152
47-2812918,1332095.0,1590695.0,2022,1.1941302985147455
47-2847445,1937138.0,1054826.0,2023,0.5445280615010392
47-2878159,8839623.0,8993147.0,2023,1.0173677090074995
47-2901744,1471595.0,2131905.0,2023,1.448703617503457
47-3985343,2057294.0,1419552.0,2023,0.6900093034831191
47-4205567,7264767.0,5966623.0,2024,0.8213096166745609
47-4620560,1087431.0,300372.0,2023,0.27622166371935325
47-5239057,992600.0,760806.0,2023,0.7664779367318154
47-5312115,20291291.0,20035662.0,2023,0.9874020337099301
47-5676956,60689552.0,67421318.0,2023,1.1109213328844478
51-0163763,2754303.0,2839148.0,2023,1.0308045265898487
51-0192418,4746733.0,4768844.0,2024,1.0046581511957804
51-0594857,912628.0,776486.0,2023,0.8508242131514703
52-1130678,1149032.0,917310.0,2023,0.7983328575705463
52-1636004,74535053.0,36214932.0,2023,0.4858778593744342
52-1949584,5923256.0,5409681.0,2023,0.9132951538815813
52-2282183,2812520.0,3488512.0,2023,1.2403510019484305
54-2160310,5075124.0,4051927.0,2023,0.798389753629665
56-2290403,3228585.0,3115669.0,2023,0.9650261647130244
56-2353412,917716.0,1512478.0,2023,1.6480893871306592
57-1148475,538776.0,232628.0,2023,0.4317712741473265
61-1402829,2145930.0,2066988.0,2023,0.9632131523395451
61-1712514,1179116.0,1414698.0,2022,1.1997954399736752
61-1816180,2381069.0,2430033.0,2023,1.0205638727815112
72-1303737,5357674.0,6959652.0,2023,1.2990062478605455
76-0709606,21928307.0,21138659.0,2023,0.9639895592486917
80-0458769,750736.0,750736.0,2023,1.0
80-0631734,92940429.0,81872824.0,2023,0.8809172163386506
81-0797257,3018536.0,3011480.0,2023,0.9976624429856062
81-1004692,1417932.0,1662334.0,2023,1.1723651063661726
81-2729166,560932.0,622917.0,2023,1.1105035904530318
81-3041566,1266204.0,997027.0,2023,0.7874141923418343
81-3467145,2573962.0,1140237.0,2023,0.4429890573365108
81-3571004,2489374.0,2617151.0,2023,1.051328968648343
81-3640078,277143.0,217300.0,2023,0.7840717607877522
81-4497049,1059204.0,1110521.0,2023,1.04844864634197
82-0605219,342583.0,937162.0,2023,2.7355764880335567
82-0934474,4005840.0,4435949.0,2023,1.1073704890859346
82-1527388,815099.0,887264.0,2024,1.0885352576803553
82-2049263,4621446.0,3313697.0,2023,0.7170260130703681
82-3003388,3086371.0,3807664.0,2023,1.233702623566642
82-3574941,331286.0,350568.0,2022,1.0582034858098441
82-3643027,239973.0,219955.0,2023,0.9165822821734112
82-4360952,1274528.0,1860437.0,2023,1.4597066521881041
82-4535615,3593964.0,3829422.0,2023,1.065514846559398
83-0573018,928190.0,961221.0,2023,1.0355864639782804
83-0739223,1084711.0,1200251.0,2023,1.1065168510322103
83-1511962,6486277.0,13680275.0,2023,2.1091105113148885
83-1816003,953932.0,1020042.0,2023,1.069302633730706
83-2855002,1775333.0,2393955.0,2023,1.348454064674064
83-4697002,564154.0,227758.0,2023,0.4037160066223053
84-1622031,1836390.0,1810750.0,2023,0.9860378242094544
84-2379517,90841.0,325995.0,2023,3.588632886031638
84-3134268,58989386.0,59894640.0,2023,1.0153460488637736
84-4813183,263742115.0,244168426.0,2023,0.9257847424177971
85-0866443,930076.0,770077.0,2023,0.8279721227082518
85-1296795,7072464110.0,7170718931.0,2023,1.013892586723922
85-1444242,884666.0,510253.0,2023,0.57677473758458
85-2402420,0.0,198885.0,2023,
85-3122376,33525098.0,44490332.0,2023,1.3270753749921924
85-3731569,2434221.0,2856018.0,2023,1.173278022003754
86-1491313,767283.0,777583.0,2023,1.0134239908873257
86-2159959,277155.0,287226.0,2022,1.0363370677057964
86-2728785,27373260.0,27143111.0,2023,0.9915921961797755
86-3531237,997355.0,597813.0,2023,0.5993984087912528
86-3883211,1136173.0,998504.0,2023,0.8788309526806217
87-1413975,30979872.0,12550.0,2023,0.0004051017383157684
87-4720705,374605.0,277780.0,2023,0.7415277425554918
88-1291629,3401483.0,347096.0,2022,0.10204255026410539
88-2491672,6399081.0,702056.0,2023,0.10971200395806835
88-3141753,137723.0,143587.0,2023,1.0425782185982007
88-3327187,17567103.0,2785047.0,2023,0.15853763708222124
90-0853595,562968.0,562968.0,2023,1.0
91-1884698,101514941.0,110028793.0,2023,1.0838679697405331
01-0552793,804846.0,813270.0,2023,1.010466598579107
01-0630527,3707943.0,3742588.0,2023,1.009343455387529
01-0634942,11231940.0,4087135.0,2023,0.3638850456822241
01-0646166,18700705.0,23774787.0,2023,1.2713310540966236
01-0705809,1299146.0,1492086.0,2023,1.1485129461969632
01-0706379,1693930.0,1750057.0,2023,1.0331341909051732
01-0806304,865844.0,997268.0,2023,1.1517871579637902
02-0550824,28804889.0,27635685.0,2023,0.9594095294031509
